USER,PID,%CPU,%MEM,COMMAND
root,321,0.0,0.0,[kworker/R-ttm]
root,322,0.0,0.0,[card0-crtc0]
root,323,0.0,0.0,[card0-crtc1]
root,324,0.0,0.0,[card0-crtc2]
root,325,0.0,0.0,[card0-crtc3]
root,327,0.0,0.0,[kworker/R-nvme-wq]
root,328,0.0,0.0,[kworker/R-nvme-reset-wq]
root,329,0.0,0.0,[kworker/R-nvme-delete-wq]
root,330,0.0,0.0,[kworker/R-nvme-auth-wq]
root,367,0.0,0.0,[jbd2/nvme0n1p2-8]
root,368,0.0,0.0,[kworker/R-ext4-rsv-conversion]
root,426,0.0,0.0,[psimon]
root,436,0.1,0.7,/usr/lib/systemd/systemd-journald
root,461,0.0,0.0,[kworker/R-tls-strp]
systemd+,465,0.0,0.0,/usr/lib/systemd/systemd-timesyncd
USER,PID,%CPU,%MEM,COMMAND
root,469,0.0,0.0,/usr/lib/systemd/systemd-udevd
root,489,0.0,0.0,[psimon]
root,566,0.0,0.0,[irq/167-mei_me]
root,661,0.0,0.0,[kworker/R-cfg80211]
root,702,0.1,0.0,[kworker/u49:1+i915_flip]
root,709,0.0,0.0,[irq/16-processor_thermal_device_pci]
root,969,0.0,0.0,/usr/sbin/haveged
root,1025,0.0,0.0,[RTW_CMD_THREAD]
root,1082,0.0,0.0,/usr/libexec/accounts-daemon
root,1085,0.0,0.0,/usr/libexec/bluetooth/bluetoothd
message+,1087,0.1,0.0,/usr/bin/dbus-daemon
polkitd,1092,0.0,0.0,/usr/lib/polkit-1/polkitd
root,1093,0.0,0.0,/usr/sbin/smartd
root,1094,0.0,0.3,/snap/snapd/current/usr/lib/snapd/snapd
root,1096,0.0,0.0,/usr/lib/systemd/systemd-logind
root,1123,0.0,0.1,/usr/bin/atop
root,1138,0.0,0.0,/usr/bin/vmware-usbarbitrator
root,1207,0.0,0.1,/usr/sbin/NetworkManager
root,1208,0.0,0.0,/usr/sbin/wpa_supplicant
root,1226,0.0,0.0,[krfcommd]
root,1316,0.0,0.0,[kworker/R-rpciod]
root,1317,0.0,0.0,[kworker/R-xprtiod]
root,1323,0.0,0.0,/usr/sbin/cron
USER,PID,%CPU,%MEM,COMMAND
root,1340,0.0,0.0,/usr/sbin/ModemManager
root,1344,0.0,0.0,/usr/sbin/cupsd
redis,1346,0.8,0.1,/usr/bin/redis-server
redis,1347,1.1,2.1,/usr/bin/redis-server
root,1348,0.0,0.0,/bin/sh
root,1349,0.0,0.0,/bin/sh
root,1365,0.0,0.1,/usr/bin/sddm
root,1370,0.1,0.3,/usr/bin/containerd
lp,1386,0.0,0.0,/usr/lib/cups/notifier/dbus
lp,1389,0.0,0.0,/usr/lib/cups/notifier/dbus
lp,1390,0.0,0.0,/usr/lib/cups/notifier/dbus
root,1416,0.0,0.6,/usr/lib/xorg/Xorg
postgres,1422,0.0,0.1,/usr/lib/postgresql/18/bin/postgres
postgres,1469,0.0,0.1,postgres:
postgres,1470,0.0,0.0,postgres:
postgres,1471,0.0,0.0,postgres:
postgres,1472,0.0,0.1,postgres:
postgres,1473,0.0,0.0,postgres:
postgres,1480,0.0,0.0,postgres:
postgres,1481,0.0,0.0,postgres:
postgres,1482,0.0,0.0,postgres:
root,1641,0.0,0.0,cupsd
root,1642,0.0,0.0,cups-proxyd
USER,PID,%CPU,%MEM,COMMAND
systemd+,1655,0.0,0.0,/usr/lib/systemd/systemd-oomd
rtkit,1698,0.0,0.0,/usr/libexec/rtkit-daemon
root,1709,0.0,0.0,/bin/sh
root,1710,0.0,0.0,sleep
root,1739,0.0,0.4,/usr/sbin/dockerd
mosquit+,1740,0.0,0.0,/usr/sbin/mosquitto
ollama,1742,0.0,0.2,/usr/local/bin/ollama
_gvm,1758,0.0,0.2,/usr/bin/python3
mysql,1810,1.6,3.1,/usr/sbin/mysqld
root,1830,0.0,0.0,[kworker/R-iprt-VBoxWQueue]
root,1842,0.0,0.0,[iprt-VBoxTscThread]
root,1889,0.0,0.0,/usr/bin/vmnet-bridge
root,2021,0.0,0.0,/usr/bin/vmnet-netifup
root,2032,0.0,0.0,/usr/bin/vmnet-dhcpd
root,2043,0.0,0.0,/usr/bin/vmnet-natd
